status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
distractor,stim/mochila.png,0,0,0,7,space,4.13396310806,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/sol.png,0,1,1,1,space,1.78416395187,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/polo.png,0,2,2,17,space,1.06809806824,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/taco.png,0,3,3,18,space,0.884252071381,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/caca.png,0,4,4,10,space,1.23384094238,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/gota.png,0,5,5,15,space,0.798660039902,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/gato.png,0,6,6,14,space,0.784852027893,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/dado.png,0,7,7,12,space,1.36699390411,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/sombrero.png,0,8,8,0,space,2.71757102013,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/dodo.png,0,9,9,13,space,1.9211230278,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/topo.png,0,10,10,19,space,1.15087008476,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/palo.png,0,11,11,16,space,1.265873909,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/libro.png,0,12,12,5,space,1.01749014854,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/bala.png,0,13,13,8,space,0.95020699501,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/bola.png,0,14,14,9,space,1.48286795616,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/coco.png,0,15,15,11,space,1.09788703918,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/arbol.png,0,16,16,2,space,0.900213956833,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/lapiz.png,0,17,17,3,space,1.11855506897,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/silla.png,0,18,18,6,space,1.76815795898,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/manzana.png,0,19,19,4,space,1.18470692635,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/sombrero.png,1,0,20,0,space,1.15211510658,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/manzana.png,1,1,21,4,space,0.783647060394,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/arbol.png,1,2,22,2,space,0.586980104446,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/dodo.png,1,3,23,13,space,0.717525959015,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/lapiz.png,1,4,24,3,space,1.01737999916,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/dado.png,1,5,25,12,space,0.867697000504,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/mochila.png,1,6,26,7,space,0.984575033188,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/bola.png,1,7,27,9,space,0.601440906525,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/libro.png,1,8,28,5,space,0.901439189911,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/gota.png,1,9,29,15,space,0.987213850021,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/polo.png,1,10,30,17,space,0.917411088943,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/sol.png,1,11,31,1,space,0.801941871643,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/taco.png,1,12,32,18,space,0.83362698555,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/topo.png,1,13,33,19,space,0.883761882782,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/palo.png,1,14,34,16,space,1.2371981144,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/silla.png,1,15,35,6,space,0.734403133392,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/gato.png,1,16,36,14,space,0.869583129883,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/coco.png,1,17,37,11,space,0.883467912674,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/caca.png,1,18,38,10,space,0.900810003281,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/bala.png,1,19,39,8,space,0.95433306694,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/dado.png,2,0,40,12,space,1.35029792786,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/dodo.png,2,1,41,13,space,0.917776107788,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/manzana.png,2,2,42,4,space,0.66749382019,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/taco.png,2,3,43,18,space,0.484148979187,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/topo.png,2,4,44,19,space,0.587543010712,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/silla.png,2,5,45,6,space,0.947535991669,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/gato.png,2,6,46,14,space,1.78408193588,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/arbol.png,2,7,47,2,space,1.33461999893,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/bola.png,2,8,48,9,space,0.881787061691,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/mochila.png,2,9,49,7,space,1.08376502991,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/palo.png,2,10,50,16,space,1.01457905769,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/lapiz.png,2,11,51,3,space,0.850291967392,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/caca.png,2,12,52,10,space,0.668070077896,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/sombrero.png,2,13,53,0,space,1.26778793335,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/bala.png,2,14,54,8,space,1.75366997719,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/sol.png,2,15,55,1,space,0.483752012253,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
distractor,stim/libro.png,2,16,56,5,space,0.80087518692,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/polo.png,2,17,57,17,space,0.768337965012,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/coco.png,2,18,58,11,space,0.501154899597,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
target,stim/gota.png,2,19,59,15,space,0.582906961441,001,magdalena,None,prodShadow,2016_Jan_27_1156,tuc,
