file_name,start_time,end_time,phoneme,word,preceding_phone,following_phone,f1_10,f1_20,f1_30,f1_40,f1_50,f1_60,f1_70,f1_80,f1_90,f2_10,f2_20,f2_30,f2_40,f2_50,f2_60,f2_70,f2_80,f2_90,f3_10,f3_20,f3_30,f3_40,f3_50,f3_60,f3_70,f3_80,f3_90,f4_10,f4_20,f4_30,f4_40,f4_50,f4_60,f4_70,f4_80,f4_90,f5_10,f5_20,f5_30,f5_40,f5_50,f5_60,f5_70,f5_80,f5_90,bw1_10,bw1_20,bw1_30,bw1_40,bw1_50,bw1_60,bw1_70,bw1_80,bw1_90,bw2_10,bw2_20,bw2_30,bw2_40,bw2_50,bw2_60,bw2_70,bw2_80,bw2_90,bw3_10,bw3_20,bw3_30,bw3_40,bw3_50,bw3_60,bw3_70,bw3_80,bw3_90,bw4_10,bw4_20,bw4_30,bw4_40,bw4_50,bw4_60,bw4_70,bw4_80,bw4_90,bw5_10,bw5_20,bw5_30,bw5_40,bw5_50,bw5_60,bw5_70,bw5_80,bw5_90
djv_prodShadow1_epa1,0.2034000000,0.3500000000,e,,boundary,p,502.1629,519.9374,518.5477,526.3088,550.2895,560.6867,574.3629,570.2297,530.2276,1903.4700,1897.1772,1914.7974,1910.5618,1833.9697,1797.7455,1788.1919,1693.9605,1525.4883,2379.2516,2593.1153,2572.0034,2549.2364,2453.4172,2382.2189,2405.0695,2225.7303,2076.8126,3594.9484,3668.9780,3806.4744,3872.6429,3874.6115,3758.9528,3750.6722,3565.6159,3515.6258,4728.5714,4717.4178,4770.6201,4766.9974,4529.3808,4493.8700,4346.2713,4411.4254,4504.3994,61.4527,66.8698,47.1351,54.8822,50.7058,46.8329,51.8446,53.1116,76.6057,814.9483,170.0703,213.3736,385.8938,243.9194,198.9356,135.6656,130.5151,108.6180,347.6660,222.5276,335.2973,421.9160,705.4210,585.5239,377.9195,294.6564,398.7684,287.8854,474.8049,483.8002,504.5442,513.1292,417.3310,999.0186,469.4159,227.9882,125.4767,379.3385,613.4847,601.8229,614.5121,665.6705,665.2027,246.2307,125.8586
djv_prodShadow1_epa1,0.3500000000,0.5100000000,p,,e,a,412.8441,509.5482,524.2031,536.0256,487.4359,387.5232,533.5921,1410.8265,555.2083,1626.0981,1641.2420,1746.2717,1738.5190,1827.3200,1853.0407,1789.1407,2367.6355,1252.8399,2315.0712,2547.7827,2408.4289,2702.5019,3124.3212,3059.2858,3013.8488,3467.2327,2616.6004,3859.8336,4073.0895,3808.6695,4134.4229,4114.2034,4114.4241,4041.8804,4219.7675,3364.0738,,,,,,,,,4772.5182,475.2186,140.0013,104.4733,163.3621,586.1774,310.9227,610.6418,691.1257,383.8062,347.0614,199.9533,201.1171,319.7212,187.3527,334.0950,280.7614,924.1130,807.5784,607.3115,618.3555,520.2629,1006.2521,746.2807,980.1373,903.9687,1428.9167,864.7467,539.9441,540.4440,312.9478,757.0459,628.6188,524.8137,817.9875,723.6703,391.9963,,,,,,,,,345.1887
djv_prodShadow1_epa1,0.5100000000,0.7009000000,a,,p,boundary,663.2005,701.5410,739.3861,726.8601,713.2379,724.0498,695.2307,649.7633,796.1629,1188.0800,1220.3498,1293.1574,1254.2584,1249.0533,1229.6442,1275.0031,1316.8963,1328.9545,2252.1641,2318.8666,2504.7856,2382.3966,2336.1757,2318.5452,2231.0986,2290.8560,2259.0520,3533.9327,3509.2717,3646.3620,3628.8033,3606.0972,3587.2909,3486.6478,3519.3800,3286.2115,4562.4724,4452.0306,4569.3574,4731.3474,4698.6335,4850.9007,4813.4463,4930.2894,4778.7484,71.8747,118.5827,74.5350,71.9704,118.9958,167.0338,157.5483,310.3113,243.4704,44.5935,118.8159,273.3282,175.2554,148.6579,249.6350,144.5860,150.3794,247.8098,397.5004,412.9034,958.8039,286.5762,78.5600,101.6566,269.7294,295.0226,1088.5776,242.2651,145.8965,250.3609,186.5940,309.0960,437.6420,203.5878,682.4018,365.0600,328.6784,190.3137,627.6883,378.1118,318.0348,308.0187,306.0033,426.5131,386.1195
djv_prodShadow1_epa2,0.1635000000,0.2900000000,e,,boundary,p,580.4474,591.4366,558.8722,562.8625,577.5784,587.0896,582.9492,556.1626,506.0027,1835.6130,1833.4444,1827.2755,1780.6154,1781.3790,1767.4267,1604.0084,1541.9261,1385.3646,2564.6192,2390.7519,2437.7812,2526.8221,2250.4213,2387.7862,2348.4344,2176.9087,2139.2970,3566.9332,3365.0277,3379.2277,3415.1126,3932.8160,4115.5553,3635.3097,3509.3263,3430.3582,4934.4217,4817.9083,4754.7739,4637.5314,4564.6935,4872.5740,4721.2296,4790.1431,4781.9023,72.7349,64.0971,39.7919,28.9699,35.8989,57.2374,61.4579,60.7554,87.5245,97.9314,485.5543,141.6281,139.3049,124.7803,142.4451,134.6404,104.7955,166.9187,308.1426,523.3862,612.2680,542.7786,470.3345,475.7276,249.4673,430.6015,597.5335,652.4790,782.1860,782.1480,1745.9673,930.5921,753.9460,1339.7904,538.5416,287.1843,189.3023,208.4733,253.0878,689.5548,1127.6460,2737.9239,852.1831,533.9015,918.4712
djv_prodShadow1_epa2,0.2900000000,0.4100000000,p,,e,a,213.0888,521.4062,547.9893,471.2226,533.8668,533.5800,557.7751,482.4102,547.0776,1564.9426,1563.8244,1645.0238,1623.2737,1683.2597,1734.9493,1747.4682,1629.0988,1189.2559,2280.8997,2202.8201,2438.9210,2342.1168,2350.2454,2515.0100,3081.0193,2861.5164,2580.4151,3450.7329,3452.5811,3825.5963,3719.0324,3789.1837,3884.4056,4188.1309,3937.3356,3342.2632,4978.1784,5004.6951,5069.6505,4896.6407,4869.6625,4919.4107,,4607.5722,4682.2066,292.5831,160.4337,66.9966,242.0290,84.6021,112.0756,130.9558,327.0895,365.0461,102.7963,415.2068,154.7420,539.3361,221.5812,326.8574,390.6258,576.1138,439.2089,417.6230,794.9128,481.3023,544.8320,617.9573,747.4266,620.9694,1102.6358,992.4363,576.4035,805.2579,733.3671,562.5495,502.8511,571.1556,1033.1721,904.4381,622.1817,679.0863,716.8380,999.6291,597.7904,384.3946,626.7727,,1263.3870,598.9110
djv_prodShadow1_epa2,0.4100000000,0.5915000000,a,,p,boundary,618.8077,657.3216,670.2252,666.5099,638.1415,617.7345,645.5023,676.0237,603.0763,1161.7370,1157.2586,1205.9848,1237.6986,1209.5641,1185.1596,1104.6307,1251.3765,1199.0427,2201.8167,2300.7480,2290.4461,2266.0489,2300.0771,2254.3026,2296.5002,2257.0338,2322.3423,3266.7355,3293.9329,3285.9821,3270.6555,3304.9191,3270.1650,3283.1707,3260.3454,3266.4338,4183.2112,4448.9874,4460.1375,4559.6640,4361.9361,4365.7561,4673.2433,4586.6125,4766.4839,32.4275,93.4177,57.0046,44.3461,80.1531,130.5509,178.3234,164.4308,538.9265,40.0197,85.2204,106.3592,55.4213,72.0479,102.0941,196.3436,101.9163,245.8855,259.7113,323.9699,141.5638,200.7369,89.7929,126.0138,158.0333,474.5235,568.8630,181.5097,240.8829,429.1252,92.1594,240.0902,254.8258,191.9810,500.6040,131.9820,430.3303,204.6275,149.1846,349.8715,406.6894,288.3721,392.7141,667.4899,475.5093
djv_prodShadow1_gaka,0.3137000000,0.3400000000,ɡ,,boundary,a,898.8130,849.4092,729.1237,599.9072,539.1588,543.9742,550.4595,567.7775,585.0955,1851.3647,1823.5573,1844.7494,1872.1155,1879.6222,1868.1119,1852.5285,1810.5236,1768.5188,2346.3014,2330.9505,2323.0125,2316.0084,2292.1643,2252.1945,2213.9436,2186.8427,2159.7417,3731.9219,3725.7882,3691.9542,3654.6299,3622.7563,3596.1022,3572.4611,3568.3643,3564.2674,4540.5602,4552.2504,4570.9213,4590.4717,4549.7657,4451.3593,4364.7668,4354.8085,4344.8503,662.6115,703.2577,511.6308,290.7373,158.9871,112.5990,72.2000,70.6511,69.1023,492.5168,513.0759,474.1987,427.8325,370.4494,302.5169,241.6032,226.2193,210.8354,198.4257,167.9303,183.5689,205.0204,273.7182,387.6582,480.5939,437.2800,393.9661,311.7947,300.7668,263.1476,222.1778,189.5622,164.9463,144.9359,154.8005,164.6651,345.9543,345.0813,358.6386,374.0142,414.5072,479.0523,550.8560,669.7447,788.6334
djv_prodShadow1_gaka,0.3400000000,0.4800000000,a,,ɡ,k,689.4203,758.5637,774.2608,781.3356,783.6048,784.8296,767.9713,709.8920,657.8674,1559.4458,1540.7341,1435.2495,1408.6928,1427.3770,1456.9052,1436.7339,1495.3693,1608.5932,2170.9587,2124.0913,2081.3622,2144.0240,2124.8484,2101.7554,2126.8203,2210.5634,2061.4697,3553.7886,3636.3639,3541.2289,3460.3197,3470.3727,3463.7095,3332.5332,3413.4311,3661.8495,4750.6803,4888.0727,4712.9329,4462.9087,4384.2275,4475.0101,4553.6171,4503.7119,4569.8094,45.2502,177.3061,134.9337,99.7960,78.6831,70.9350,72.4037,171.6027,380.9845,104.8998,452.1631,319.1648,205.6032,144.6379,113.9863,90.6302,194.8019,494.7947,255.1939,435.2430,438.2311,245.2009,202.0520,219.1257,261.9733,759.6095,989.4567,207.4836,172.1641,183.1158,114.9034,175.1480,250.5083,183.2272,213.9675,294.4897,756.2128,420.3488,504.8025,746.8240,522.5869,660.1993,457.8297,459.4174,771.5062
djv_prodShadow1_gaka,0.4800000000,0.5800000000,k,,a,a,1144.2280,1119.3507,779.5831,1123.0983,252.3040,933.2445,924.4228,1009.3926,1478.7592,1668.1825,1665.1420,1526.8687,1887.4632,1515.0230,1682.7592,1653.7446,1561.2731,2275.0468,2711.9819,2609.9561,2349.7251,3300.2883,2098.8648,2806.0497,2396.6819,2305.7255,3855.2286,4144.1031,4065.8775,3988.1787,4495.7566,3441.7788,4155.4898,4262.9289,4260.4056,4277.6527,4681.4185,4706.2814,4680.0745,,4990.1889,,4633.2742,,,1504.4070,1202.1985,571.9907,667.1181,1330.2629,855.6459,945.6700,1834.7287,162.0225,219.2702,274.6723,506.5122,755.5463,367.0712,199.9754,409.5595,486.2321,311.2429,634.3147,486.5813,880.4744,1398.5533,4102.1632,851.6034,527.3559,220.3301,807.8066,592.9126,380.8442,1110.0804,491.0530,1001.0567,619.4740,515.8292,194.4710,178.3284,701.1497,560.0383,519.1555,,993.6046,,2106.0484,,
djv_prodShadow1_gaka,0.5800000000,0.7560000000,a,,k,boundary,562.4773,582.5634,597.6395,611.7229,613.2938,598.9942,597.9366,546.6512,554.8514,1443.5862,1376.5720,1359.2619,1341.6014,1349.8717,1326.1811,1337.1337,1280.8768,1334.5874,2196.6224,2244.8550,2488.5335,2481.4638,2370.0916,2110.7695,2250.3265,2198.0802,2092.9713,3362.4705,3350.3589,3422.1523,3381.6189,3477.9840,3428.4135,3372.1348,3362.2456,3252.3972,4323.3657,4375.9685,4388.4324,4458.9673,4537.4115,4456.8918,4406.9292,4827.9786,4939.9510,49.2726,51.4180,68.4887,72.2894,84.4538,115.7656,159.6937,681.8127,563.4118,146.9907,129.9849,123.3592,122.6413,162.3971,128.1384,179.8754,331.7856,162.0716,319.4027,539.4018,558.6755,804.6956,775.6900,736.2683,289.9774,812.7274,741.3645,167.9960,200.6120,944.5256,655.6533,861.4107,427.9499,192.6299,516.2070,327.3368,295.2778,275.6887,485.0081,386.8875,393.1997,432.6079,305.3318,641.4203,214.3620
