status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,15.8493027687,,,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,ada,stim/ada.wav,0,0,0,0,,,space,2.55060386658,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,diki,stim/diki.wav,0,1,1,14,,,space,1.89764714241,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,topo,stim/topo.wav,0,2,2,46,,,space,1.2006649971,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,tuku,stim/tuku.wav,0,3,3,48,,,space,1.11783695221,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,boko,stim/boko.wav,0,4,4,6,,,space,1.36731886864,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,gato,stim/gato.wav,0,5,5,21,,,space,0.553910017014,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,daka,stim/daka.wav,0,6,6,12,,,space,0.963625192642,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,toko,stim/toko.wav,0,7,7,47,,,space,0.850837945938,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,taco,stim/taco.wav,0,8,8,42,,,space,0.917591094971,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,goko,stim/goko.wav,0,9,9,24,,,space,0.834290981293,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,ita,stim/ita.wav,0,10,10,27,,,space,0.853949069977,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,doko,stim/doko.wav,0,11,11,16,,,space,0.920510053635,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,kiki,stim/kiki.wav,0,12,12,30,,,space,0.884052038193,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,baka,stim/baka.wav,0,13,13,2,,,space,0.850817918777,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,guku,stim/guku.wav,0,14,14,26,,,space,0.863534927368,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,uta,stim/uta.wav,0,15,15,49,,,space,0.784332990646,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,bala,stim/bala.wav,0,16,16,3,,,space,0.78392291069,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,koko,stim/koko.wav,0,17,17,31,,,space,0.750079154968,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,biki,stim/biki.wav,0,18,18,5,,,space,0.884353876114,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,eda,stim/eda.wav,0,19,19,18,,,space,0.804561853409,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,tiki,stim/tiki.wav,0,20,20,45,,,space,0.80060005188,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,piki,stim/piki.wav,0,21,21,38,,,space,0.750972032547,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,kuku,stim/kuku.wav,0,22,22,32,,,space,0.784151077271,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,apa,stim/apa.wav,0,23,23,1,,,space,0.687730073929,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,keke,stim/keke.wav,0,24,24,29,,,space,0.750663042068,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,peke,stim/peke.wav,0,25,25,37,,,space,0.771096944809,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,paka,stim/paka.wav,0,26,26,35,,,space,0.763514995575,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,gota,stim/gota.wav,0,27,27,25,,,space,0.654314994812,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,epa,stim/epa.wav,0,28,28,19,,,space,0.817248821259,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,beke,stim/beke.wav,0,29,29,4,,,space,0.617053031921,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,buku,stim/buku.wav,0,30,30,8,,,space,1.20048499107,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,palo,stim/palo.wav,0,31,31,36,,,space,0.804314136505,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,caca,stim/caca.wav,0,32,32,9,,,space,0.816916942596,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,polo,stim/polo.wav,0,33,33,40,,,space,0.550631046295,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,oba,stim/oba.wav,0,34,34,33,,,space,0.771072864532,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,oka,stim/oka.wav,0,35,35,34,,,space,0.750733137131,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,puku,stim/puku.wav,0,36,36,41,,,space,0.704246997833,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,gaka,stim/gaka.wav,0,37,37,20,,,space,0.698095083237,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,bola,stim/bola.wav,0,38,38,7,,,space,0.933999061584,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,duku,stim/duku.wav,0,39,39,17,,,space,0.500374794006,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,poko,stim/poko.wav,0,40,40,39,,,space,0.737630844116,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,coco,stim/coco.wav,0,41,41,10,,,space,0.78412103653,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,giki,stim/giki.wav,0,42,42,23,,,space,0.703464031219,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,dado,stim/dado.wav,0,43,43,11,,,space,0.633657932281,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,deke,stim/deke.wav,0,44,44,13,,,space,0.75057387352,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,kaka,stim/kaka.wav,0,45,45,28,,,space,0.783658981323,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,teke,stim/teke.wav,0,46,46,44,,,space,0.713819980621,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,taka,stim/taka.wav,0,47,47,43,,,space,0.850646972656,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,geke,stim/geke.wav,0,48,48,22,,,space,0.550703048706,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,dodo,stim/dodo.wav,0,49,49,15,,,space,1.32093000412,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,deke,stim/deke.wav,1,0,50,13,,,space,1.05255103111,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,goko,stim/goko.wav,1,1,51,24,,,space,1.16722106934,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,apa,stim/apa.wav,1,2,52,1,,,space,0.633816003799,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,taco,stim/taco.wav,1,3,53,42,,,space,0.683986186981,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,kaka,stim/kaka.wav,1,4,54,28,,,space,0.797512054443,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,tiki,stim/tiki.wav,1,5,55,45,,,space,0.620628118515,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,ita,stim/ita.wav,1,6,56,27,,,space,0.680556774139,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,koko,stim/koko.wav,1,7,57,31,,,space,0.800924062729,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,epa,stim/epa.wav,1,8,58,19,,,space,0.700837135315,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,doko,stim/doko.wav,1,9,59,16,,,space,0.650671005249,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,ada,stim/ada.wav,1,10,60,0,,,space,0.547150850296,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,gota,stim/gota.wav,1,11,61,25,,,space,0.454185009003,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,poko,stim/poko.wav,1,12,62,39,,,space,0.750754117966,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,toko,stim/toko.wav,1,13,63,47,,,space,0.430464029312,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,oba,stim/oba.wav,1,14,64,33,,,space,0.530144929886,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,caca,stim/caca.wav,1,15,65,9,,,space,0.46727013588,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,bala,stim/bala.wav,1,16,66,3,,,space,0.563517093658,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,duku,stim/duku.wav,1,17,67,17,,,space,0.534050941467,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,coco,stim/coco.wav,1,18,68,10,,,space,0.633857011795,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,boko,stim/boko.wav,1,19,69,6,,,space,0.620908021927,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,bola,stim/bola.wav,1,20,70,7,,,space,1.18458414078,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,eda,stim/eda.wav,1,21,71,18,,,space,0.283555030823,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,gato,stim/gato.wav,1,22,72,21,,,space,0.487539052963,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,gaka,stim/gaka.wav,1,23,73,20,,,space,0.487536907196,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,oka,stim/oka.wav,1,24,74,34,,,space,0.367150068283,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,piki,stim/piki.wav,1,25,75,38,,,space,0.501098871231,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,guku,stim/guku.wav,1,26,76,26,,,space,0.384129047394,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,taka,stim/taka.wav,1,27,77,43,,,space,0.49697303772,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,polo,stim/polo.wav,1,28,78,40,,,space,0.483820915222,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,teke,stim/teke.wav,1,29,79,44,,,space,0.600830078125,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,kiki,stim/kiki.wav,1,30,80,30,,,space,0.820954799652,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,baka,stim/baka.wav,1,31,81,2,,,space,0.649875164032,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,dodo,stim/dodo.wav,1,32,82,15,,,space,0.983720064163,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,biki,stim/biki.wav,1,33,83,5,,,space,0.867197990417,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,daka,stim/daka.wav,1,34,84,12,,,space,1.50384306908,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,buku,stim/buku.wav,1,35,85,8,,,space,0.417474031448,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,palo,stim/palo.wav,1,36,86,36,,,space,0.900472164154,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,kuku,stim/kuku.wav,1,37,87,32,,,space,0.250600099564,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,geke,stim/geke.wav,1,38,88,22,,,space,0.683969020844,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,giki,stim/giki.wav,1,39,89,23,,,space,1.00057601929,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,diki,stim/diki.wav,1,40,90,14,,,space,0.950942993164,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,dado,stim/dado.wav,1,41,91,11,,,space,0.533945798874,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,tuku,stim/tuku.wav,1,42,92,48,,,space,0.383889913559,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,puku,stim/puku.wav,1,43,93,41,,,space,0.837342977524,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
distractor,uta,stim/uta.wav,1,44,94,49,,,space,0.267410039902,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,keke,stim/keke.wav,1,45,95,29,,,space,0.567732095718,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,beke,stim/beke.wav,1,46,96,4,,,space,0.396924972534,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,peke,stim/peke.wav,1,47,97,37,,,space,0.817129850388,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
pname,topo,stim/topo.wav,1,48,98,46,,,space,0.333586931229,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
target,paka,stim/paka.wav,1,49,99,35,,,space,0.470588207245,001,stacybi,59.8749198799,prodShadow,2015_Dec_09_1218,tuc,
