status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,6.96829509735,,,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
target,deke,stim/deke.wav,0,0,0,13,,,space,4.63499212265,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
target,biki,stim/biki.wav,0,1,1,5,,,space,6.56814002991,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
target,doko,stim/doko.wav,0,2,2,16,,,space,1.21801304817,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
target,poko,stim/poko.wav,0,3,3,39,,,space,0.797450780869,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
pname,polo,stim/polo.wav,0,4,4,40,,,space,0.850787162781,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
pname,coco,stim/coco.wav,0,5,5,10,,,space,0.981296062469,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
pname,caca,stim/caca.wav,0,6,6,9,,,space,1.00047397614,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
target,beke,stim/beke.wav,0,7,7,4,,,space,0.83476805687,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
target,boko,stim/boko.wav,0,8,8,6,,,space,0.95436501503,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
pname,dodo,stim/dodo.wav,0,9,9,15,,,space,1.11736702919,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
target,diki,stim/diki.wav,0,10,10,14,,,space,1.06755399704,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
target,buku,stim/buku.wav,0,11,11,8,,,space,0.964260101318,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
target,paka,stim/paka.wav,0,12,12,35,,,space,0.984751939774,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
target,kaka,stim/kaka.wav,0,13,13,28,,,space,1.00234007835,001,martinbi,61.0679269568,prodShadow,2016_Jan_23_1033,bi,
