ems_prodPicName_arbol,469.34,645.85,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
ems_prodPicName_silla2,418.89,985.42,0,1.57,9459.45,2787.65,-1.83,3.57,diss
ems_prodPicName_sol,400.85,579.54,0,1.57,9459.45,2787.65,-1.83,3.57,diss
ems_prodPicName_sol1,714.52,893.32,0,1.57,9459.45,2787.65,-1.83,3.57,diss
ems_prodPicName_sol2,501.32,592.89,0,1.57,9459.45,2787.65,-1.83,3.57,diss
ems_prodPicName_sombrero,471.63,760.97,0,1.57,9459.45,2787.65,-1.83,3.57,diss
ems_prodPicName_sombrero1,479.65,788.76,0,1.57,9459.45,2787.65,-1.83,3.57,diss
ems_prodPicName_sombrero2,448.86,823.74,1.15,-9.14,351.08,205.05,10.78,341.42,diss
ems_prodPicName_taco,457.94,661.70,57.55,-9.06,398.26,1059.02,5.72,38.78,taco
ems_prodPicName_taco1,459.90,705.80,24.12,-12.01,748.69,1418.54,3.75,19.24,taco
ems_prodPicName_taco2,473.15,705.10,42.47,-0.58,2235.89,2959.95,1.66,2.02,taco
ems_prodPicName_topo,407.01,673.49,33.56,-2.11,1592.74,2495.30,2.88,10.70,topo
ems_prodPicName_topo1,603.66,731.69,21.81,-8.73,450.58,1120.36,5.11,31.76,topo
ems_prodPicName_topo2,407.19,616.15,30.85,-8.67,1005.97,1779.87,3.63,17.80,topo
