lmw_prodPicName_arbol,418.02,560.92,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
lmw_prodPicName_palo2,432.97,649.87,28.18,14.21,140.57,424.46,13.90,319.74,palo
lmw_prodPicName_polo,420.81,650.71,40.92,21.77,231.74,572.13,17.84,379.22,polo
lmw_prodPicName_polo1,432.37,635.14,53.37,27.08,177.31,854.22,9.14,105.76,polo
lmw_prodPicName_polo2,430.00,673.06,19.86,4.32,247.32,212.43,9.00,307.99,polo
lmw_prodPicName_silla,500.37,821.18,0,4.32,247.32,212.43,9.00,307.99,diss
lmw_prodPicName_silla1,489.48,528.70,0,4.32,247.32,212.43,9.00,307.99,diss
lmw_prodPicName_silla2,354.34,584.14,0,4.32,247.32,212.43,9.00,307.99,diss
lmw_prodPicName_sol,345.51,594.12,0,4.32,247.32,212.43,9.00,307.99,diss
lmw_prodPicName_sol1,333.12,714.59,0.68,-6.67,549.90,323.99,6.05,94.98,diss
lmw_prodPicName_sol2,291.54,567.12,-3.07,-16.18,566.62,322.09,6.37,74.98,diss
lmw_prodPicName_sombrero,440.21,722.85,0,-16.18,566.62,322.09,6.37,74.98,diss
lmw_prodPicName_sombrero1,348.04,744.87,0,-16.18,566.62,322.09,6.37,74.98,diss
lmw_prodPicName_sombrero2,442.70,810.91,0,-16.18,566.62,322.09,6.37,74.98,diss
lmw_prodPicName_taco,413.13,605.08,12.93,-10.35,549.67,406.10,2.96,33.13,taco
lmw_prodPicName_taco1,413.88,602.25,17.23,-4.30,313.11,411.25,11.90,222.71,taco
lmw_prodPicName_taco2,427.64,556.25,13.13,-13.67,686.88,453.13,2.47,17.94,taco
lmw_prodPicName_topo,566.10,884.00,34.54,7.88,1386.90,2036.87,1.95,2.71,topo
lmw_prodPicName_topo1,440.46,589.49,19.00,-5.73,241.35,437.32,11.49,177.35,topo
lmw_prodPicName_topo2,448.06,585.96,19.93,-5.50,463.20,1012.94,5.74,38.54,topo
