status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
target,biki,stim/biki.wav,1,38,88,5,,,space,0.534038066864,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,deke,stim/deke.wav,1,39,89,13,,,space,0.400874853134,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,bala,stim/bala.wav,1,40,90,3,,,space,0.567132949829,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,paka,stim/paka.wav,1,41,91,35,,,space,0.417502880096,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,taka,stim/taka.wav,1,42,92,43,,,space,0.800757169724,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,gota,stim/gota.wav,1,43,93,25,,,space,0.884079933167,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,giki,stim/giki.wav,1,44,94,23,,,space,0.763644933701,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,goko,stim/goko.wav,1,45,95,24,,,space,0.984102964401,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,buku,stim/buku.wav,1,46,96,8,,,space,0.638520956039,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,guku,stim/guku.wav,1,47,97,26,,,space,0.467277050018,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,geke,stim/geke.wav,1,48,98,22,,,space,1.36736297607,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,piki,stim/piki.wav,1,49,99,38,,,space,1.30054402351,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,gato,stim/gato.wav,2,0,100,21,,,space,1.26756811142,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,bola,stim/bola.wav,2,1,101,7,,,space,0.483897924423,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,palo,stim/palo.wav,2,2,102,36,,,space,1.05058193207,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,kiki,stim/kiki.wav,2,3,103,30,,,space,0.717548131943,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,diki,stim/diki.wav,2,4,104,14,,,space,0.680399894714,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,topo,stim/topo.wav,2,5,105,46,,,space,1.50073695183,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,goko,stim/goko.wav,2,6,106,24,,,space,0.884027004242,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
