status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
target,stim/topo.png,2,1,41,19,space,0.93398809433,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/caca.png,2,2,42,10,space,0.967575073242,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/arbol.png,2,3,43,2,space,0.850765943527,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/palo.png,2,4,44,16,space,1.38094496727,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/polo.png,2,5,45,17,space,1.13383293152,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/libro.png,2,6,46,5,space,1.11736607552,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/manzana.png,2,7,47,4,space,1.27051782608,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/silla.png,2,8,48,6,space,1.01376390457,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/gato.png,2,9,49,14,space,1.10044002533,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/gota.png,2,10,50,15,space,1.25142812729,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/sol.png,2,11,51,1,space,1.21197414398,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/sombrero.png,2,12,52,0,space,1.91833305359,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/mochila.png,2,13,53,7,space,0.914570093155,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/taco.png,2,14,54,18,space,1.23416185379,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/dado.png,2,15,55,12,space,1.25424194336,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/dodo.png,2,16,56,13,space,0.917186975479,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/bala.png,2,17,57,8,space,1.20082211494,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/lapiz.png,2,18,58,3,space,1.18435811996,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/bola.png,2,19,59,9,space,0.983523130417,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
