status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
distractor,stim/arbol.png,2,1,41,2,space,0.683772087097,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/dado.png,2,2,42,12,space,1.06727814674,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/manzana.png,2,3,43,4,space,0.99710893631,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/gota.png,2,4,44,15,space,0.65073800087,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/sol.png,2,5,45,1,space,0.634093046188,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/mochila.png,2,6,46,7,space,1.07053995132,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/coco.png,2,7,47,11,space,1.01704502106,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/topo.png,2,8,48,19,space,2.25046992302,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/lapiz.png,2,9,49,3,space,0.863408088684,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/bala.png,2,10,50,8,space,0.43025302887,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/silla.png,2,11,51,6,space,0.645498991013,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/sombrero.png,2,12,52,0,space,0.834496974945,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/libro.png,2,13,53,5,space,1.13039898872,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/bola.png,2,14,54,9,space,0.887659072876,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/polo.png,2,15,55,17,space,0.750604152679,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/gato.png,2,16,56,14,space,0.753812074661,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/palo.png,2,17,57,16,space,1.69778990746,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/dodo.png,2,18,58,13,space,1.45350193977,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/taco.png,2,19,59,18,space,0.446772098541,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
