status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,14.9371020794,,,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
pname,dado,stim/dado.wav,0,0,0,11,,,space,9.55526590347,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
pname,bola,stim/bola.wav,0,1,1,7,,,space,2.96826696396,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,boko,stim/boko.wav,0,2,2,6,,,space,2.63461494446,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,doko,stim/doko.wav,0,3,3,16,,,space,2.08399701118,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
distractor,epa,stim/epa.wav,0,4,4,19,,,space,1.95074105263,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
distractor,oka,stim/oka.wav,0,5,5,34,,,space,1.7811191082,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,piki,stim/piki.wav,0,6,6,38,,,space,1.88082814217,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,teke,stim/teke.wav,0,7,7,44,,,space,1.78447985649,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
distractor,oba,stim/oba.wav,0,8,8,33,,,space,1.73401093483,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,taka,stim/taka.wav,0,9,9,43,,,space,1.75487184525,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,peke,stim/peke.wav,0,10,10,37,,,space,1.83423686028,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
pname,taco,stim/taco.wav,0,11,11,42,,,space,1.6041059494,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
pname,dodo,stim/dodo.wav,0,12,12,15,,,space,1.63784790039,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,diki,stim/diki.wav,0,13,13,14,,,space,1.68394804001,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
distractor,uta,stim/uta.wav,0,14,14,49,,,space,1.45094299316,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
pname,caca,stim/caca.wav,0,15,15,9,,,space,1.58438181877,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,goko,stim/goko.wav,0,16,16,24,,,space,1.30083584785,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,geke,stim/geke.wav,0,17,17,22,,,space,1.43116021156,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,koko,stim/koko.wav,0,18,18,31,,,space,1.68449211121,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,tuku,stim/tuku.wav,0,19,19,48,,,space,1.16409397125,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
distractor,eda,stim/eda.wav,0,20,20,18,,,space,1.9176299572,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,puku,stim/puku.wav,0,21,21,41,,,space,1.5508878231,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
pname,coco,stim/coco.wav,0,22,22,10,,,space,1.33415699005,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,keke,stim/keke.wav,0,23,23,29,,,space,1.45472097397,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,guku,stim/guku.wav,0,24,24,26,,,space,1.40600609779,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,baka,stim/baka.wav,0,25,25,2,,,space,1.55419683456,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,giki,stim/giki.wav,0,26,26,23,,,space,1.31795191765,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,tiki,stim/tiki.wav,0,27,27,45,,,space,1.40138816833,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,biki,stim/biki.wav,0,28,28,5,,,space,1.35154700279,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
distractor,apa,stim/apa.wav,0,29,29,1,,,space,1.33483505249,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,paka,stim/paka.wav,0,30,30,35,,,space,1.26771879196,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
pname,topo,stim/topo.wav,0,31,31,46,,,space,1.56749010086,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,kuku,stim/kuku.wav,0,32,32,32,,,space,1.33400321007,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
pname,polo,stim/polo.wav,0,33,33,40,,,space,1.23439788818,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,beke,stim/beke.wav,0,34,34,4,,,space,1.55117106438,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,kiki,stim/kiki.wav,0,35,35,30,,,space,1.56775689125,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,buku,stim/buku.wav,0,36,36,8,,,space,1.38487005234,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,kaka,stim/kaka.wav,0,37,37,28,,,space,1.384100914,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,gaka,stim/gaka.wav,0,38,38,20,,,space,1.30060100555,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
distractor,ada,stim/ada.wav,0,39,39,0,,,space,1.36392903328,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
pname,gato,stim/gato.wav,0,40,40,21,,,space,1.08469605446,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,poko,stim/poko.wav,0,41,41,39,,,space,1.30122113228,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
target,daka,stim/daka.wav,0,42,42,12,,,space,1.25035810471,001,eduardobi,60.0204060314,prodShadow,2016_Jan_25_1732,tuc,
