alexiabi_prodPicName_arbol,294.07,734.27,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
alexiabi_prodPicName_gota2,376.77,732.52,-65.18,-5.91,655.42,633.90,8.06,99.70,gota
alexiabi_prodPicName_lapiz,374.18,872.73,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_lapiz1,436.00,866.56,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_lapiz2,273.86,883.45,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_libro,373.37,626.81,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_libro1,358.68,686.23,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_libro2,387.63,652.38,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_manzana,539.68,737.38,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_manzana1,261.81,756.33,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_manzana2,242.99,752.48,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_mochila,262.58,781.26,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_mochila1,279.12,801.52,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_mochila2,730.47,976.41,0,-5.91,655.42,633.90,8.06,99.70,diss
alexiabi_prodPicName_palo,402.08,613.01,19.96,-5.46,109.73,218.26,13.80,441.94,palo
alexiabi_prodPicName_palo1,275.05,604.89,14.55,-11.49,553.27,310.88,3.26,81.17,palo
alexiabi_prodPicName_palo2,574.90,953.28,9.03,-16.05,417.66,406.31,1.63,15.21,palo
alexiabi_prodPicName_polo,423.95,603.77,11.56,-9.76,358.53,195.20,3.50,111.13,polo
alexiabi_prodPicName_polo1,424.69,598.22,20.71,-6.53,421.36,420.53,5.85,94.17,polo
alexiabi_prodPicName_polo2,395.16,636.17,18.71,-7.49,156.91,264.05,9.41,234.10,polo
alexiabi_prodPicName_silla,571.29,790.81,0,-7.49,156.91,264.05,9.41,234.10,diss
alexiabi_prodPicName_silla1,346.78,890.73,0,-7.49,156.91,264.05,9.41,234.10,diss
alexiabi_prodPicName_silla2,360.24,916.58,0,-7.49,156.91,264.05,9.41,234.10,diss
alexiabi_prodPicName_sol,326.09,716.37,0,-7.49,156.91,264.05,9.41,234.10,diss
alexiabi_prodPicName_sol1,282.84,740.83,0,-7.49,156.91,264.05,9.41,234.10,diss
alexiabi_prodPicName_sol2,410.57,659.26,0.54,-2.10,6636.69,1705.16,0.17,-0.60,diss
alexiabi_prodPicName_sombrero,278.32,799.39,0,-2.10,6636.69,1705.16,0.17,-0.60,diss
alexiabi_prodPicName_sombrero1,389.49,808.25,0,-2.10,6636.69,1705.16,0.17,-0.60,diss
alexiabi_prodPicName_sombrero2,370.91,809.71,0,-2.10,6636.69,1705.16,0.17,-0.60,diss
alexiabi_prodPicName_taco,362.08,541.44,13.58,-12.24,396.58,458.99,12.35,250.48,taco
alexiabi_prodPicName_taco1,303.26,535.83,11.38,-17.56,678.47,454.35,5.74,100.11,taco
alexiabi_prodPicName_taco2,519.89,570.21,13.45,-9.70,378.88,735.30,9.99,119.44,taco
alexiabi_prodPicName_topo,356.46,512.92,11.50,-19.61,410.62,364.51,14.80,364.66,topo
alexiabi_prodPicName_topo1,429.01,858.02,15.35,-18.73,395.08,961.54,8.72,81.17,topo
alexiabi_prodPicName_topo2,275.65,531.79,13.63,-21.18,366.53,359.42,19.03,494.92,topo
