luciabi_prodPicName_arbol,303.93,753.02,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
luciabi_prodPicName_gota,667.07,759.60,-72.73,-13.50,653.49,816.61,7.28,76.83,gota
luciabi_prodPicName_gota1,499.51,719.43,-62.92,-11.26,968.69,518.19,8.45,135.78,gota
luciabi_prodPicName_gota2,493.31,764.49,-86.95,-4.36,1123.56,911.62,6.85,55.05,gota
luciabi_prodPicName_lapiz,229.79,852.24,0,-4.36,1123.56,911.62,6.85,55.05,diss
luciabi_prodPicName_lapiz1,287.55,914.31,0,-4.36,1123.56,911.62,6.85,55.05,diss
luciabi_prodPicName_lapiz2,282.54,897.41,0,-4.36,1123.56,911.62,6.85,55.05,diss
luciabi_prodPicName_libro,155.13,704.53,0,-4.36,1123.56,911.62,6.85,55.05,diss
luciabi_prodPicName_libro1,437.32,698.55,0,-4.36,1123.56,911.62,6.85,55.05,diss
luciabi_prodPicName_libro2,435.75,678.08,0,-4.36,1123.56,911.62,6.85,55.05,diss
luciabi_prodPicName_manzana,291.70,755.29,0,-4.36,1123.56,911.62,6.85,55.05,diss
luciabi_prodPicName_manzana1,460.89,776.16,0.94,-5.96,849.48,811.33,2.40,11.28,diss
luciabi_prodPicName_manzana2,279.06,721.99,0,-5.96,849.48,811.33,2.40,11.28,diss
luciabi_prodPicName_mochila,511.34,767.29,0,-5.96,849.48,811.33,2.40,11.28,diss
luciabi_prodPicName_mochila1,356.67,779.08,1.63,-3.22,4943.37,1575.49,0.98,0.93,diss
luciabi_prodPicName_mochila2,380.98,772.02,0,-3.22,4943.37,1575.49,0.98,0.93,diss
luciabi_prodPicName_palo,329.80,627.80,8.88,-12.51,763.26,337.07,3.44,65.73,palo
luciabi_prodPicName_palo1,415.64,634.17,10.45,-3.52,644.96,391.85,5.85,104.65,palo
luciabi_prodPicName_palo2,422.90,703.95,4.64,-4.94,659.14,427.25,9.10,194.59,palo
luciabi_prodPicName_polo,297.24,619.88,13.38,-9.98,327.87,289.01,4.58,122.26,polo
luciabi_prodPicName_polo1,242.79,676.15,13.03,-7.33,395.59,258.11,10.39,350.19,polo
luciabi_prodPicName_polo2,400.46,659.23,7.88,-7.49,473.61,259.93,2.18,55.65,polo
luciabi_prodPicName_silla,636.77,785.86,0,-7.49,473.61,259.93,2.18,55.65,diss
luciabi_prodPicName_silla1,480.78,778.02,0,-7.49,473.61,259.93,2.18,55.65,diss
