gabibi_prodPicName_arbol,329.60,787.23,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
gabibi_prodPicName_palo1,366.26,646.30,10.42,-8.50,598.23,361.15,3.88,71.63,palo
gabibi_prodPicName_palo2,335.15,522.15,9.65,-6.41,531.97,362.58,4.11,63.31,palo
gabibi_prodPicName_polo,355.42,581.72,9.83,-8.77,503.89,213.35,6.09,197.37,polo
gabibi_prodPicName_polo1,233.58,719.74,18.19,-2.16,145.46,342.28,19.09,452.10,polo
gabibi_prodPicName_polo2,190.57,599.10,17.73,-5.10,260.53,465.41,14.59,260.83,polo
gabibi_prodPicName_silla,408.11,754.24,0,-5.10,260.53,465.41,14.59,260.83,diss
gabibi_prodPicName_silla1,416.85,747.30,0,-5.10,260.53,465.41,14.59,260.83,diss
gabibi_prodPicName_silla2,317.41,734.11,0,-5.10,260.53,465.41,14.59,260.83,diss
gabibi_prodPicName_sol,243.85,761.93,0,-5.10,260.53,465.41,14.59,260.83,diss
gabibi_prodPicName_sol1,400.45,777.80,0,-5.10,260.53,465.41,14.59,260.83,diss
gabibi_prodPicName_sol2,305.11,775.48,0,-5.10,260.53,465.41,14.59,260.83,diss
gabibi_prodPicName_sombrero,368.92,687.49,0,-5.10,260.53,465.41,14.59,260.83,diss
gabibi_prodPicName_sombrero1,336.57,571.17,0,-5.10,260.53,465.41,14.59,260.83,diss
gabibi_prodPicName_sombrero2,402.18,813.03,0.94,3.75,6351.95,2255.29,-0.02,1.16,diss
gabibi_prodPicName_taco,355.56,561.46,10.52,-15.63,610.22,408.75,7.49,136.83,taco
gabibi_prodPicName_taco1,324.34,535.98,13.97,-13.18,475.34,655.36,8.52,93.53,taco
gabibi_prodPicName_taco2,345.50,552.55,9.51,-9.10,644.49,955.84,4.35,23.14,taco
gabibi_prodPicName_topo,325.32,496.79,9.14,-16.23,455.75,297.50,9.38,228.15,topo
gabibi_prodPicName_topo1,319.49,713.33,10.01,-12.97,421.72,383.93,12.87,243.76,topo
gabibi_prodPicName_topo2,580.57,871.07,12.73,-16.97,300.58,492.00,12.29,209.43,topo
