status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
distractor,stim/arbol.png,2,1,41,2,space,0.44845199585,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/bola.png,2,2,42,9,space,0.588294029236,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/dodo.png,2,3,43,13,space,0.813924074173,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/lapiz.png,2,4,44,3,space,0.750496864319,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/sombrero.png,2,5,45,0,space,0.833652973175,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/polo.png,2,6,46,17,space,0.613769054413,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/libro.png,2,7,47,5,space,0.63128900528,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/palo.png,2,8,48,16,space,0.917398929596,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/dado.png,2,9,49,12,space,0.800451040268,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/gota.png,2,10,50,15,space,0.733953952789,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/bala.png,2,11,51,8,space,0.767003059387,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/mochila.png,2,12,52,7,space,0.267993927002,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/taco.png,2,13,53,18,space,1.10028815269,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/coco.png,2,14,54,11,space,0.716835021973,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/silla.png,2,15,55,6,space,0.613800048828,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/sol.png,2,16,56,1,space,0.634536027908,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/caca.png,2,17,57,10,space,0.466998815536,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/gato.png,2,18,58,14,space,0.817358016968,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/manzana.png,2,19,59,4,space,0.700412988663,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
