file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ems_prodShadow0_taka1,0.0,3.053,ems,-41.465083888319676,-46.43025588989258,7.715467817629447,5.696996229939565
ems_prodShadow0_taka,0.0,2.3939455782312926,ems,-42.45936029027197,-48.68406295776367,4.139199554197942,2.9889824030582623
jkw_prodShadow0_paka1,0.0,2.234,jkw,-43.57092120936099,-44.19313335418701,4.043474143448497,0.5590686772844702
jal_prodShadow0_paka2,0.0,1.428,jal,-44.61284418706294,-48.877647399902344,4.043474143448497,11.347912079296862
ems_prodShadow0_bola,0.0,2.8775283446712017,ems,-40.55548434787326,-49.657591819763184,3.532640323167516,5.117020303779011
lmw_prodShadow0_bala,0.0,1.159,lmw,-41.620163490032326,-42.57391166687012,3.53263930443119,18.442082132952923
jmt_prodShadow0_bala2,0.0,0.899,jmt,-44.06372884114583,-43.72197437286377,2.8880003161720014,15.75399675619836
ems_prodShadow0_ada2,0.0,2.7879138321995467,ems,-43.5857659890233,-49.81632868448893,2.8589209078826006,4.792824348034923
lmw_prodShadow0_eda1,0.0,1.073,lmw,-48.58895389164719,-52.19772593180338,2.841435022918499,17.69942194913786
jkw_prodShadow0_daka1,0.0,2.1539002267573695,jkw,-47.34711573401163,-46.314422607421875,2.783486613959268,6.249494594899627
blr_prodShadow0_bala2,0.0,0.968,blr,-43.55077621617268,-43.341373443603516,2.7732251070446865,15.928069051948539
lmw_prodShadow0_bola,0.0,1.1749886621315193,lmw,-45.23761917372882,-46.778719902038574,2.7732251070446865,16.143085943921953
lmw_prodShadow0_gota1,0.0,1.124,lmw,-48.19854300362723,-52.84785461425781,2.7449944729757028,14.662427564459701
djv_prodShadow0_ada,0.0,0.987,djv,-37.58103495896464,-42.64063008626302,2.738121554454477,9.045132208204707
jkw_prodShadow0_daka,0.0,2.197,jkw,-44.773433061079544,-49.18142318725586,2.7281989508204276,6.11634331145301
lmw_prodShadow0_oba2,0.0,0.9298866213151927,lmw,-49.003501974126344,-55.62015024820963,2.5788172006179497,14.224205884873932
jkw_prodShadow0_daka2,0.0,2.132,jkw,-43.07632775821596,-46.11259460449219,2.543907472666864,4.313255001374877
mam_prodShadow0_paka1,0.0,1.0626757369614512,mam,-39.814757149174525,-41.569024085998535,2.5416123387776675,5.244399641100095
mav_prodShadow0_taka,0.0,2.978775510204082,mav,-35.97195496015101,-39.76468753814697,2.5341026027385025,-1.3708026905593123
