file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
djv_prodShadow6_taka1,0.0,1.247,djv,-46.91303125,-50.107157707214355,5.124049006775505,9.301441768417739
bco_prodShadow6_daka2,0.0,0.962,bco,-53.174530029296875,-57.74452495574951,4.741272209278587,8.588320397184429
ems_prodShadow6_taka,0.0,1.404,ems,-52.136628069196426,-57.31615447998047,4.72373304380874,7.583900793349407
blr_prodShadow6_baka2,0.0,0.809,blr,-54.80060643325617,-58.794508934020996,4.4029334667478235,18.44378947273921
bco_prodShadow6_taka2,0.0,0.94,bco,-58.68913106715426,-56.026723861694336,4.323416484324137,11.539647060835616
bco_prodShadow6_oka1,0.0,0.8528344671201814,bco,-53.95063189338235,-55.69427617390951,4.064591699221077,8.93818402975434
ems_prodShadow6_bala1,0.0,0.9295918367346939,ems,-45.697837911626344,-50.093138694763184,4.0203612342427855,14.4800930195293
bco_prodShadow6_taka1,0.0,1.028,bco,-49.653230241201456,-53.62835121154785,3.9230999248395335,6.272284644050941
jkw_prodShadow6_daka1,0.0,1.093922902494331,jkw,-52.478703770068805,-58.31685161590576,3.7262509400263237,13.045236976564905
lmw_prodShadow6_ada1,0.0,1.313,lmw,-46.6100272841126,-47.246602376302086,3.7032695955321424,15.998405896901206
ems_prodShadow6_bala,0.0,1.729501133786848,ems,-55.29377596640173,-55.47348690032959,3.6567624880445546,7.460988680714214
lmw_prodShadow6_taka,0.0,1.1815873015873015,lmw,-47.572369074417374,-53.940096855163574,3.6567624880445546,14.933318907953465
mav_prodShadow6_daka2,0.0,0.9405215419501134,mav,-57.911631482712764,-54.86024188995361,3.6096342062494355,10.463839856651909
jmt_prodShadow6_gaka2,0.0,1.05,jmt,-53.17119605654762,-51.63834762573242,3.4930840917175052,10.25918064910745
blr_prodShadow6_eda,0.0,0.8309070294784581,blr,-46.335437452936745,-43.39004770914713,3.472908967707015,19.168518695418978
djv_prodShadow6_paka2,0.0,1.1158503401360544,djv,-45.59426007952009,-48.79879951477051,3.4694521947528307,11.716038634613344
djv_prodShadow6_eda2,0.0,1.2035147392290249,djv,-45.41929931640625,-45.382432301839195,3.2413236878061857,16.442347518398044
ems_prodShadow6_taka2,0.0,1.048,ems,-50.72852492559524,-52.13116645812988,3.2225466913887755,8.205893628684265
bco_prodShadow6_daka,0.0,1.1377777777777778,bco,-50.89968390213816,-53.92256450653076,3.0495714383008075,12.118120026124046
mav_prodShadow6_paka,0.0,1.05,mav,-50.04125744047619,-53.053049087524414,2.9946185522507083,8.256811613272049
bco_prodShadow6_gaka2,0.0,1.0466666666666666,bco,-55.17778552827381,-56.14493274688721,2.9704282873504737,8.982859878068275
jmt_prodShadow6_ita2,0.0,0.9185941043083901,jmt,-56.36902916949728,-53.888938903808594,2.9393246710872116,9.907727681141395
blr_prodShadow6_bola,0.0,1.1158503401360544,blr,-53.492239815848215,-50.42284679412842,2.860540435686131,13.0731908752052
jmt_prodShadow6_bala,0.0,1.2035147392290249,jmt,-48.187845865885414,-47.827942848205566,2.860540435686131,12.931346711168853
ems_prodShadow6_bola1,0.0,0.731859410430839,ems,-47.594061028467465,-53.13784313201904,2.85012029514908,14.126919706584689
