file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
mav_prodShadow5_caca,0.0,0.8309297052154195,mav,-53.17719314759036,-52.12217330932617,8.60967859228031,11.063680128037813
jal_prodShadow5_caca1,0.0,0.787,jal,-53.03522423852848,-53.7528772354126,4.810359541584436,13.526649706561338
mav_prodShadow5_taka1,0.0,0.984,mav,-50.828538544323976,-49.9504508972168,4.327448817971486,9.513543164062881
bco_prodShadow5_taka1,0.0,1.072,bco,-48.392076153621495,-52.47669219970703,3.9890734573860662,11.30123890161979
jkw_prodShadow5_oba1,0.0,0.875,jkw,-49.2131181196733,-49.33111699422201,3.9335340312823077,10.384007365588879
djv_prodShadow5_paka1,0.0,1.269,djv,-46.77999661663386,-48.050875663757324,3.9166093001890596,12.995982687196141
jkw_prodShadow5_gaka1,0.0,1.028,jkw,-53.80226031553398,-56.74435806274414,3.8605307224815237,10.773812165434553
jkw_prodShadow5_taka2,0.0,1.1596825396825396,jkw,-52.032824286099135,-54.14810848236084,3.7634895475164134,10.484619736995217
jmt_prodShadow5_taka2,0.0,1.006,jmt,-50.79742129486386,-49.71762180328369,3.4251138507849537,4.9927718879160246
mam_prodShadow5_taka,0.0,1.05,mam,-48.47514880952381,-49.12578773498535,3.4251138507849537,12.36148690498311
lmw_prodShadow5_ada2,0.0,1.1815873015873015,lmw,-42.83517611228814,-45.495994567871094,3.4045234046323483,17.486228258794863
lmw_prodShadow5_ada,0.0,0.962,lmw,-46.37803649902344,-47.08497619628906,3.242660313913388,17.07407444904696
mav_prodShadow5_gota1,0.0,1.093922902494331,mav,-50.51857260607798,-51.94365882873535,3.1301867326246047,11.540152495053977
jal_prodShadow5_bola2,0.0,0.8966666666666666,jal,-51.88401692708333,-55.24872016906738,2.992377701431444,14.979218970683512
jkw_prodShadow5_taka,0.0,1.1377551020408163,jkw,-47.63390899122807,-52.06699275970459,2.973946367191688,4.330718384351606
jkw_prodShadow5_eda,0.0,0.984,jkw,-46.094362842793366,-55.923075358072914,2.939895725426277,9.807850091492039
jkw_prodShadow5_bala,0.0,0.8528344671201814,jkw,-46.90417911305147,-53.86817741394043,2.9398952069170905,11.122260080546113
lmw_prodShadow5_eda1,0.0,1.1377551020408163,lmw,-46.51729543585526,-43.154823303222656,2.9398946884079034,15.638510199402415
ems_prodShadow5_bola1,0.0,0.984,ems,-47.65318578603316,-54.392802238464355,2.8855071132684156,13.920485435166578
lmw_prodShadow5_paka2,0.0,1.269,lmw,-46.47039170152559,-46.379462242126465,2.8742391427011906,12.873988737122346
bco_prodShadow5_gaka,0.0,1.247,bco,-54.52626171875,-57.26766872406006,2.870060640059487,8.213882395473991
lmw_prodShadow5_eda2,0.0,1.2035147392290249,lmw,-45.967529296875,-44.720907847086586,2.7659130788411486,15.661192135467946
ems_prodShadow5_bala2,0.0,1.269,ems,-44.749861589566926,-52.82638168334961,2.7659130788411486,16.011309818289313
ems_prodShadow5_bala,0.0,0.984,ems,-54.52329300860969,-52.220940589904785,2.765912560331962,10.839649722619948
jkw_prodShadow5_paka2,0.0,1.1815873015873015,jkw,-51.10507564221398,-55.108920097351074,2.7005106968280725,9.64944144279729
blr_prodShadow5_taka,0.0,0.94,blr,-47.74748067652926,-49.75014877319336,2.6355706704602277,14.146289628325691
mam_prodShadow5_taka1,0.0,0.984,mam,-49.559490593112244,-48.80133628845215,2.6355706704602277,11.637532599335987
jal_prodShadow5_uta2,0.0,0.787,jal,-55.264914210838604,-59.250264485677086,2.627555187408078,3.607511731485097
bco_prodShadow5_gota,0.0,0.962,bco,-52.7840830485026,-54.02266025543213,2.609934547494369,8.237807484810059
blr_prodShadow5_ita1,0.0,1.1158503401360544,blr,-46.811375209263396,-50.629984537760414,2.5919293952376465,16.70994840253772
lmw_prodShadow5_ita2,0.0,1.093922902494331,lmw,-48.50561299455275,-48.684469858805336,2.5919293952376465,13.194206533252752
blr_prodShadow5_eda,0.0,0.984,blr,-47.85104432397959,-53.02553049723307,2.5919293952376465,15.480595412276449
lmw_prodShadow5_bola,0.0,1.2035147392290249,lmw,-42.410298665364586,-43.37795448303223,2.5919293952376465,15.572936727549173
lmw_prodShadow5_uta2,0.0,1.1596825396825396,lmw,-46.90933122306034,-49.213967641194664,2.5919283582192727,16.49587396329575
bco_prodShadow5_bola,0.0,1.05,bco,-51.93841610863095,-54.261701583862305,2.550153949458557,10.368435461286552
bco_prodShadow5_daka,0.0,0.8747619047619047,bco,-54.72582727191092,-57.6402645111084,2.4956544243190857,7.2332203328844855
ems_prodShadow5_kaka1,0.0,0.984,ems,-51.83857322225765,-63.22908592224121,2.4716680098686203,8.291691134350415
ems_prodShadow5_caca,0.0,0.962,ems,-49.772918701171875,-56.19983959197998,2.4716680098686203,6.73810117861165
lmw_prodShadow5_oba1,0.0,1.006,lmw,-41.82323251856435,-40.54051971435547,2.454728256434408,16.340157190722685
mav_prodShadow5_ada,0.0,0.8747619047619047,mav,-47.008390580100574,-48.39266459147135,2.4333438955384654,11.539695350677935
blr_prodShadow5_oba2,0.0,0.962,blr,-47.2147216796875,-57.640210469563804,2.417946748652518,19.828719893848977
blr_prodShadow5_uta1,0.0,1.181609977324263,blr,-48.221236923993644,-58.74779383341471,2.417945711634144,17.084029109105117
jmt_prodShadow5_uta2,0.0,0.8528344671201814,jmt,-53.62632697610294,-59.00491841634115,2.2809555548973552,10.67665849117024
jkw_prodShadow5_apa,0.0,0.699,jkw,-55.48636997767857,-53.107051849365234,2.279589375728634,6.438242548644784
jal_prodShadow5_kaka2,0.0,0.6556009070294785,jal,-53.334946141098484,-53.086360931396484,2.2774808035012235,13.070516272056249
bco_prodShadow5_ada1,0.0,1.006,bco,-47.807394801980195,-48.27148691813151,2.2714808048195057,11.527631173424481
mav_prodShadow5_paka2,0.0,1.028,mav,-48.972262780643206,-47.76627826690674,2.2661897115829874,8.81770980652411
lmw_prodShadow5_bala2,0.0,1.291,lmw,-44.002380844234494,-41.66968631744385,2.243965139085763,16.797261352940808
ems_prodShadow5_bala1,0.0,0.9405215419501134,ems,-50.92347490026596,-54.3161563873291,2.243964620576576,13.149694001901256
jkw_prodShadow5_uta2,0.0,1.072,jkw,-47.5282199182243,-57.06786982218424,2.2439641020673893,13.428170665274244
