file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
mam_prodShadow4_caca1,0.0,0.847,mam,-54.18071001838236,-52.94865322113037,8.984562139837047,9.841144869652265
jmt_prodShadow4_taka2,0.0,1.225,jmt,-49.58519912347561,-48.529701232910156,4.798237276710781,10.848289788203925
mam_prodShadow4_ada,0.0,1.004,mam,-49.483984375,-52.61721928914388,4.2072390150411625,14.135307045353796
ems_prodShadow4_taka1,0.0,0.962,ems,-54.57902526855469,-52.22653675079346,3.8141938922773915,7.6302743006529035
mam_prodShadow4_taka,0.0,1.006,mam,-52.87360767326733,-54.597211837768555,3.691188560869419,8.302275544029719
lmw_prodShadow4_taka2,0.0,1.2035147392290249,lmw,-48.574869791666664,-51.72751426696777,3.691188560869419,12.432410274986463
ems_prodShadow4_daka1,0.0,1.1596825396825396,ems,-53.80291537580819,-54.24640655517578,3.6799383447088228,6.997503453614328
lmw_prodShadow4_eda2,0.0,1.223,lmw,-45.82511926869877,-49.2301025390625,3.2893986937215995,18.55759654845921
lmw_prodShadow4_ada1,0.0,1.0939455782312926,lmw,-48.61997383887615,-54.49972788492838,3.2893976883907814,14.409936620419044
blr_prodShadow4_daka1,0.0,1.269,blr,-57.77426796259842,-57.179266929626465,3.2326804719195783,17.092289518393628
ems_prodShadow4_bala,0.0,1.225,ems,-53.79905440167683,-51.55468273162842,3.1207323317145255,8.564293837906762
lmw_prodShadow4_ita2,0.0,1.1158503401360544,lmw,-44.499703543526785,-46.339561462402344,3.1207313263837078,15.781177940830801
jkw_prodShadow4_taka,0.0,0.962,jkw,-49.44237263997396,-49.99647903442383,3.0761611706599474,8.427284903633726
jkw_prodShadow4_taka1,0.0,0.962,jkw,-53.8231201171875,-56.57261562347412,3.0761611706599474,9.97435032395003
blr_prodShadow4_caca1,0.0,1.0719954648526078,blr,-49.31188394421729,-56.238553047180176,2.952065969707452,18.39159939342945
lmw_prodShadow4_uta1,0.0,1.313,lmw,-48.2947876908397,-53.21545537312826,2.952065969707452,15.781826219401719
ems_prodShadow4_paka,0.0,1.225,ems,-49.7269118394309,-53.07711982727051,2.874696045676669,5.527139494343039
ems_prodShadow4_bola1,0.0,1.1596825396825396,ems,-45.53073225350216,-58.03628730773926,2.783399607700378,13.740376110427503
lmw_prodShadow4_ada,0.0,1.1815873015873015,lmw,-47.59571140095339,-51.24346160888672,2.783399607700378,19.38354900499477
blr_prodShadow4_gota2,0.0,1.247,blr,-47.72517578125,-57.66308403015137,2.78339860236956,17.597841387474936
lmw_prodShadow4_oba2,0.0,1.4929024943310658,lmw,-43.39805080746644,-42.18562698364258,2.7803662251912584,15.505624964215862
blr_prodShadow4_taka2,0.0,1.05,blr,-51.234765625,-55.18245601654053,2.7071448098512256,16.309003710051655
ems_prodShadow4_gota,0.0,1.3569160997732426,ems,-54.241279153262866,-64.62824630737305,2.6415893398855093,1.3861516253775434
blr_prodShadow4_uta2,0.0,1.2035147392290249,blr,-50.8046875,-56.08900833129883,2.6147332456933046,16.412669417128587
lmw_prodShadow4_taka1,0.0,1.269,lmw,-46.600912739911415,-53.88565540313721,2.6147322403624864,15.182191655680008
jal_prodShadow4_gota,0.0,0.94,jal,-53.95689099900266,-56.443979263305664,2.613930008510891,6.638144432820788
ems_prodShadow4_bala2,0.0,1.0939455782312926,ems,-49.98859930475918,-50.67562198638916,2.6139295058454817,12.339051533831352
djv_prodShadow4_ada1,0.0,1.0747619047619048,djv,-47.67516063084112,-53.39295959472656,2.5452722326498667,18.78872350879972
bco_prodShadow4_gota,0.0,1.1596825396825396,bco,-52.33010338092672,-53.893789291381836,2.497995679480698,8.00039034063543
lmw_prodShadow4_bala1,0.0,1.291,lmw,-40.19562288032946,-39.938517570495605,2.4460668836862305,17.713378503108334
bco_prodShadow4_bala2,0.0,1.316938775510204,bco,-47.276163736979164,-52.2827205657959,2.4460668836862305,13.471784020303033
blr_prodShadow4_gaka1,0.0,1.1377551020408163,blr,-48.47475928591009,-54.78611660003662,2.4460668836862305,20.596340573144047
lmw_prodShadow4_eda1,0.0,1.115827664399093,lmw,-45.33018275669643,-48.814412434895836,2.4460668836862305,17.610829991405648
lmw_prodShadow4_baka2,0.0,1.4226984126984128,lmw,-48.51533271897007,-53.816452980041504,2.4460668836862305,15.173993170410721
